PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
ABBAI1383-16	Discinidae	18S		ABBAI/0199442729-03F+1522263603.ab1
ABBAI1383-16	Discinidae	18S		ABBAI/0199442729-03R+1522263603.ab1
ABBAI1384-16	Discinidae	18S		ABBAI/0199442718-03F+1522263603.ab1
ABBAI1384-16	Discinidae	18S		ABBAI/0199442718-03R+1522263603.ab1
ABBAI1385-16	Discinidae	18S		ABBAI/0199442705-03F+1522263603.ab1
ABBAI1385-16	Discinidae	18S		ABBAI/0199442705-03R+1522263603.ab1
ABBAI1487-16	Discinidae	18S		ABBAI/0181851428-03F+1522263603.ab1
ABBAI1487-16	Discinidae	18S		ABBAI/0181851428-03R+1522263603.ab1
ABBAI157-15	Discinidae	18S		ABBAI/0168843910-03R+1522263603.ab1
ABBAI157-15	Discinidae	18S		ABBAI/0168843910-03F+1522263603.ab1
ABBAI1844-16	Glottidia	16S		ABBAI/0174004704-02R+1508996257.ab1
ABBAI1844-16	Glottidia	COI-5P		ABBAI/0174004704-01R+1423515349.ab1
ABBAI1844-16	Glottidia	18S		ABBAI/0174004704-03F+1523023278.ab1
ABBAI1844-16	Glottidia	18S		ABBAI/0174004704-03R+1523023278.ab1
ABBAI1844-16	Glottidia	16S		ABBAI/0174004704-02F+1508989826.ab1
ABBAI1844-16	Glottidia	COI-5P		ABBAI/0174004704-01F+1423507795.ab1
ABBAI1845-16	Glottidia	16S		ABBAI/0174004798-02F+1500090485.ab1
ABBAI1845-16	Glottidia	18S		ABBAI/0174004798-03R+1523017322.ab1
ABBAI1845-16	Glottidia	18S		ABBAI/0174004798-03F+1523017322.ab1
ABBAI1845-16	Glottidia	COI-5P		ABBAI/0174004798-01R+1473760260.ab1
ABBAI1921-16	Glottidia	COI-5P		ABBAI/0174004741-01F+1423507795.ab1
ABBAI1921-16	Glottidia	COI-5P		ABBAI/0174004741-01R+1473760260.ab1
ABBAI1921-16	Glottidia	16S		ABBAI/0174004741-02R+1500044907.ab1
ABBAI1921-16	Glottidia	18S		ABBAI/0174004741-03F+1523017322.ab1
ABBAI1921-16	Glottidia	18S		ABBAI/0174004741-03R+1523017322.ab1
ABBAI1921-16	Glottidia	16S		ABBAI/0174004741-02F+1500090485.ab1
ABBAI2073-17	Glottidia	COI-5P		ABBAI/0233060667-01R+1505266809.ab1
ABBAI2073-17	Glottidia	COI-5P		ABBAI/0233060667-01F+1507961415.ab1
ABBAI447-15	Glottidia	18S		ABBAI/0168844028-03R+1523017322.ab1
ABBAI447-15	Glottidia	16S		ABBAI/0168844028-02F+1500090485.ab1
